Número de Registro,Fecha de ingreso,Denominación del Objeto,Cultura,Materiales,Zona Arqueológica,País
,Día,,,,,
MB 000147,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000147,16,Pectoral,Calamarí,Concha,Costa Caribe,Colombia
MB 000148,16,Fragmento de cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000148,16,Adorno,Calamarí,Concha,Costa Caribe,Colombia
MB 000149,16,Máscara,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000149,16,Adorno,Calamarí,Concha,Costa Caribe,Colombia
MB 000150,16,Soporte,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000150,16,Adorno,Calamarí,Concha,Costa Caribe,Colombia
MB 000151,16,Alcarraza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000151,16,Adorno,Calamarí,Concha,Costa Caribe,Colombia
MB 000152,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000152,16,Adorno,Calamarí,Concha,Costa Caribe,Colombia
MB 000153,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000153,16,Adorno,Calamarí,Concha,Costa Caribe,Colombia
MB 000154,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000154,16,Figura,Calamarí,Concha,Costa Caribe,Colombia
MB 000155,16,Figura,Calamarí,Concha,Costa Caribe,Colombia
MB 000156,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000157,16,Vasija,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000157,16,Volante de huso,Calamarí,Concha,Costa Caribe,Colombia
MB 000158,16,Fragmento de cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000158,16,Volante de huso,Calamarí,Concha,Costa Caribe,Colombia
MB 000159,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000159,16,Volante de huso,Calamarí,Concha,Costa Caribe,Colombia
MB 000160,16,Fragmento de rallador,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000160,16,Cubresexo femenino,Calamarí,Concha,Costa Caribe,Colombia
MB 000161,16,Fragmento de cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000161,16,Cubresexo femenino,Calamarí,Concha,Costa Caribe,Colombia
MB 000162,16,Silbato,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000162,16,Cubresexo femenino,Calamarí,Concha,Costa Caribe,Colombia
MB 000163,16,Fragmento de cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000163,16,Cubresexo femenino,Calamarí,Concha,Costa Caribe,Colombia
MB 000164,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000164,16,Pezonera,Calamarí,Concha,Costa Caribe,Colombia
MB 000165,16,Máscara,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000165,16,Pezonera,Calamarí,Concha,Costa Caribe,Colombia
MB 000166,16,Fragmento de figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000166,16,Pezonera,Calamarí,Concha,Costa Caribe,Colombia
MB 000167,16,Silbato,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000167,16,Concha,Calamarí,Concha,Costa Caribe,Colombia
MB 000168,16,Sello,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000168,16,Cubresexo masculino,Calamarí,Concha,Costa Caribe,Colombia
MB 000169,16,Rodillo,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000169,16,Cubresexo masculino,Calamarí,Concha,Costa Caribe,Colombia
MB 000170,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000170,16,Pezonera,Calamarí,Concha,Costa Caribe,Colombia
MB 000171,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000171,16,Pezonera,Calamarí,Concha,Costa Caribe,Colombia
MB 000172,16,Cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
